"","status","family","pval","qval","gene_short_name","num_cells_expressed","use_for_ordering"
"Rpl7a","OK","negbinomial.size",2.37006862356394e-06,3.7725836641559e-05,"Rpl7a",709,TRUE
"Surf1","OK","negbinomial.size",0.0211541991235764,0.0981810716592115,"Surf1",280,TRUE
"Surf2","OK","negbinomial.size",0.0131292653849094,0.0688472381391179,"Surf2",90,TRUE
"Surf4","OK","negbinomial.size",0.0035827412671511,0.0247828386664785,"Surf4",406,TRUE
"Rexo4","OK","negbinomial.size",0.595227847335157,0.785869610770566,"Rexo4",72,TRUE
"Cacfd1","OK","negbinomial.size",0.283690458776221,0.535912892961284,"Cacfd1",146,TRUE
"Sardh","OK","negbinomial.size",0.442002516430881,0.677374335043848,"Sardh",28,FALSE
"Brd3","OK","negbinomial.size",0.219654189428878,0.463780777413923,"Brd3",198,TRUE
"Wdr5","OK","negbinomial.size",0.958470300974961,0.980825580645364,"Wdr5",54,TRUE
"Rxra","OK","negbinomial.size",0.559177133223758,0.760453756663281,"Rxra",88,TRUE
"Col5a1","OK","negbinomial.size",1.01477728514977e-21,5.57431091048447e-20,"Col5a1",431,TRUE
"Olfm1","OK","negbinomial.size",0.0250456982543901,0.112264837855478,"Olfm1",208,TRUE
"Mrps2","OK","negbinomial.size",0.318428869554249,0.57230375496791,"Mrps2",22,FALSE
"Ralgds","OK","negbinomial.size",0.254308380823555,0.500400301230686,"Ralgds",157,TRUE
"Gtf3c5","OK","negbinomial.size",0.859410336481971,0.936459765715379,"Gtf3c5",41,TRUE
"Tsc1","OK","negbinomial.size",0.0760333277042576,0.241839604521119,"Tsc1",73,TRUE
"Gtf3c4","OK","negbinomial.size",0.561747564077084,0.762561260211727,"Gtf3c4",59,TRUE
"Ddx31","OK","negbinomial.size",0.0702719725725708,0.230051920726914,"Ddx31",18,FALSE
"Ttf1","OK","negbinomial.size",0.724133056469717,0.863012395404388,"Ttf1",67,TRUE
"Setx","OK","negbinomial.size",0.332549951654784,0.586736218758277,"Setx",54,TRUE
